 	Course name	Units	Major	Days	Begin	End	Core	Pre 	Pre	Pre	Pre
109	IntroToECE	3	Both	130	900	1015	109.5	X			
109.5	IntroToECELab	1	Both	400	1300	1550	109.5	X			
114	CforEngineers	3	Both	200	1900	2150	114.5	X			
114.5	CforEngineersLab	1	Both	400	1900	2150	114.5	X			
130	DiscreteStructures	4	CP	240	1600	1750	X	114	114.5		
204	IntroToDigitalLogic	4	Both	130	1300	1550	204.5	114	114.5	109	109.5
204.5	IntroToDigitalLogicLab	1	Both	200	1300	1750	204	114	114.5	109	109.5
205	DigitalDesignUsingVerilog	3	Both	130	1350	1445	205.5	204	204.5		
205.5	DigitalDesignUsingVerilogLab	1	Both	300	1800	2050	205.5	204	204.5		
207	NetworkAnalysis1	3	Both	240	1300	1415	X	109	109.5		
207.5	NetworkAnalysis1Lab	1	Both	200	1900	2150	X	207			
209	NetworkAnalysis2	3	Both	240	1045	1200	X	207			
209.5	NetworkAnalysis2Lab	1	Both	300	1800	2050	X	207.5	209		
220	ElectronicDevicesAndCircuits	4	Both	100	1400	1550	X	207	209		
220.5	ElectronicLab	1	Both	130	1800	2050	X	220			
256	ObjectOrientedProgramming	4	Both	130	1200	1350	X	114	114.5		
257	Matlab	4	EE	240	1000	1150	X	114	114.5		
302	ElectromagneticFields	4	Both	130	1400	1550	X	204	220		
304	DataStructures	4	CP	135	915	1020	X	256	130		
306	DiscreteTimeSignalsAndSystems	4	Both	130	1600	1750	X	209			
306.5	DiscreteTimeSignalsAndSystemsLab	1	Both	200	1900	2150	X	306			
307	NetworkAnalysis3	3	EE	130	1200	1315	X	209			
309	ControlSystemsEngineering	4	Both	130	900	1050	X	209			
309.5	ControlSystemsLab	1	Both	100	1800	2050	X	309			
310	IntroToPowerEngineering	4	EE	240	800	950	310.5	209			
310.5	PowerEngineeringLab	1	EE	500	1300	1550	310	X			
315	Probability,Statistics,andRandomProcesses	4	Both	240	1300	1450	X	209			
320	Linear Active Circuit Design	3	EE	130	1200	1315	X	220	209		
320.5	BasicActiveCircuitLAb	1	EE	400	1900	2150	X	220.5	320		
325	ElectronicDesignofDigitalCircuits	3	CP	130	1630	1745	325.5	205			
325.5	ElectronicDesignofDigitalCircuitsLab	1	CP	200	900	1150	325	205			
330	IntroToSemiConductors	3	EE	130	1500	1615	X	220	302		
341	IntroToMicrocontroller	3	Both	240	1430	1545	341.5	205	205.5	207	
341.5	IntroMicrocontrollerLab	1	Both	400	1600	1850	341	205	205.5	207	
343	MicroProcessor1	4	Both	130	1400	1550	343.5	204	204.5		
343.5	MicroProcessor1Lab	1	Both	200	1600	1850	343	205	204.5		
405	CommunicationsSystem	4	EE	240	1000	1150	X	315	307		
405.5	CommunicationsSystemLab	1	EE	400	1600	1850	X	405			
407	CMOS Analog Circuits	4	Both	130	900	1050	X	320			
408	DigitalSignalProcessing1	3	Both	130	1200	1315	X	306			
408.5	DSP_Lab	1	Both	200	1300	1550	X	408			
418	IntegratedCircuits:DesignandFabrication	4	Both	130	1800	1950	X	320	330		
419	AdvancedControlSystems	3	Both	130	1330	1445	419.5	309			
419.5	AdvancedControlSystemsLab	1	Both	200	1600	1850	419	309			
422	PowerSystemAnalysis	3	Both	130	1030	1145	422.5	310			
422.5	PoweSystemsLab	1	Both	300	1200	1450	422	X			
424	DigitalSystemDesignUsingVHDL	3	Both	130	1630	1745	424.5	205	205.5		
424.5	DigitalSystemDesignUsingVHDLLab	1	Both	100	1800	2050	424	205	205.5		
425	ComputerArchitecture	4	CP	130	900	1050	X	341	341.5		
426	OSforEmbeddedAppications	3	CP	200	1300	1550	426.5	256	341	341.5	
426.5	OSforEmbeddedAppicationsLab	1	CP	400	1300	1550	426	257	342	341.5	
431	ComputerNetworks	3	CP	240	900	1015	431.5	341	341.5		
431.5	ComputerNetworksLab	1	CP	500	900	1150	431	342	341.5		
436	OpticalFiberCommunications	4	Both	130	1400	1550	X	302	405		
448	R.F. Design	4	Both	130	1600	1750	X	402			
464	ProfessionalTopics	1	Both	100	1200	1250	X	220	209		
468	PowerSystemElectronics	3	Both	240	1045	1200	468.5	220			
468.5	PowerSystemsElectronicsLab	1	Both	400	1300	1550	468	X			
490	IntroToilluminationEngineering	4	Both	240	800	950	490.5	209			
490.5	IllumintationLab	1	Both	500	800	950	490	X			
